[(0, '{id:TEST, hour:18, minute:19, day:23, month:8, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:I0A0000011, testcode2:S121111111}')]
[(31, '{id:000606, hour:18, minute:45, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:KAC8000021, testcode2:S122771111}')]
[(32, '{id:000616, hour:18, minute:50, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K5B7000011, testcode2:S122111111}')]
[(33, '{id:000616, hour:18, minute:50, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K6B7000011, testcode2:S122111111}')]
[(34, '{id:000617, hour:18, minute:54, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K9B7000011, testcode2:S122111111}')]
[(35, '{id:000617, hour:18, minute:54, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:KAC7000091, testcode2:S122111111}')]
[(36, '{id:000617, hour:18, minute:59, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(37, '{id:000618, hour:19, minute:3, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K2C7000091, testcode2:S122111111}')]
[(38, '{id:000611, hour:19, minute:7, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:KAC8000011, testcode2:S122771111}')]
[(39, '{id:000611, hour:19, minute:9, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:KAC8000011, testcode2:S122771111}')]
[(40, '{id:000610, hour:19, minute:11, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:KAC8000011, testcode2:S122771111}')]
[(41, '{id:000608, hour:19, minute:13, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(42, '{id:000607, hour:19, minute:15, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(43, '{id:000604, hour:19, minute:16, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(44, '{id:000605, hour:19, minute:18, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(45, '{id:000593, hour:19, minute:20, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:I0A0000011, testcode2:S121111111}')]
[(46, '{id:000594, hour:19, minute:29, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:IBG2006021, testcode2:S122111111}')]
[(47, '{id:000595, hour:19, minute:31, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:IAG2006021, testcode2:S122111111}')]
[(48, '{id:000597, hour:19, minute:38, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:IAG2006021, testcode2:S122111111}')]
[(49, '{id:000596, hour:19, minute:47, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:IAG2006021, testcode2:S122111111}')]
[(50, '{id:000598, hour:19, minute:54, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:IAG2006021, testcode2:S122111111}')]
[(51, '{id:000600, hour:20, minute:0, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:IAG2006021, testcode2:S122111111}')]
[(52, '{id:000599, hour:20, minute:7, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:IAG2006021, testcode2:S122111111}')]
[(53, '{id:000601, hour:20, minute:8, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:IAG2006021, testcode2:S122111111}')]
[(54, '{id:000592, hour:20, minute:32, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:KAC8000011, testcode2:S122B71111}')]
[(55, '{id:000602, hour:20, minute:40, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:IAG2006021, testcode2:S122111111}')]
[(56, '{id:000603, hour:20, minute:45, day:8, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:IAG2006021, testcode2:S122111111}')]
[(57, '{id:LSF2, hour:15, minute:18, day:23, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:I1C70030D1, testcode2:S121111111}')]
[(58, '{id:LSF 2, hour:15, minute:20, day:23, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:IBC700A051, testcode2:S121211111}')]
[(59, '{id:LSF71, hour:15, minute:27, day:23, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:IBC700A051, testcode2:S121211111}')]
[(60, '{id:LSF72, hour:15, minute:30, day:23, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:IBC700A051, testcode2:S121211111}')]
[(61, '{id:16A GRELCO, hour:15, minute:32, day:23, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000051, testcode2:S121211111}')]
[(62, '{id:LSF54, hour:15, minute:39, day:23, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:I1C70030D1, testcode2:S121111111}')]
[(63, '{id:LSF77, hour:15, minute:42, day:23, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:IBC700A051, testcode2:S121211111}')]
[(64, '{id:LSF79, hour:15, minute:44, day:23, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:IBC700A051, testcode2:S121211111}')]
[(65, '{id:LSF82, hour:15, minute:47, day:23, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:IBC700A051, testcode2:S121211111}')]
[(66, '{id:LSF300, hour:15, minute:52, day:23, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:IBC700A051, testcode2:S121211111}')]
[(67, '{id:LSF1101, hour:15, minute:54, day:23, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:IBC700A051, testcode2:S121211111}')]
[(68, '{id:LSF70, hour:15, minute:56, day:23, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:IBC700A051, testcode2:S121211111}')]
[(69, '{id:LSF51, hour:15, minute:57, day:23, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:I1C70030D1, testcode2:S121111111}')]
[(70, '{id:000276, hour:17, minute:37, day:23, month:9, year:2012, site:UoB, location:ALT, tester:SHAUN, testcode1:I1C70030D1, testcode2:S121111111}')]
[(71, '{id:LF501, hour:19, minute:5, day:23, month:9, year:2012, site:UoB, location:ALT, tester:SHAUN, testcode1:IBC700A051, testcode2:S121211111}')]
[(72, '{id:LSF89, hour:19, minute:11, day:23, month:9, year:2012, site:UoB, location:ALT, tester:SHAUN, testcode1:IBC700A051, testcode2:S121211111}')]
[(73, '{id:LSF95, hour:19, minute:14, day:23, month:9, year:2012, site:UoB, location:ALT, tester:SHAUN, testcode1:IBC700A051, testcode2:S121211111}')]
[(74, '{id:LSF94, hour:19, minute:17, day:23, month:9, year:2012, site:UoB, location:ALT, tester:SHAUN, testcode1:IBC700A051, testcode2:S121211111}')]
[(75, '{id:LSK91, hour:19, minute:20, day:23, month:9, year:2012, site:UoB, location:ALT, tester:SHAUN, testcode1:IBC700A051, testcode2:S121211111}')]
[(76, '{id:16A2M1, hour:14, minute:7, day:24, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:KAC7000011, testcode2:S122111111}')]
[(77, '{id:16A5M1, hour:14, minute:9, day:24, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:KAC70000H1, testcode2:S121111111}')]
[(78, '{id:16A5M, hour:14, minute:11, day:24, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:KAC70000H1, testcode2:S121111111}')]
[(79, '{id:16A10M1, hour:14, minute:12, day:24, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:KBC70000D1, testcode2:S121111111}')]
[(80, '{id:16AGRELCO, hour:14, minute:14, day:24, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(81, '{id:16A20M1, hour:14, minute:29, day:24, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K4C70000D1, testcode2:S121111111}')]
[(82, '{id:16A20M2, hour:14, minute:33, day:24, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K4C70000D1, testcode2:S121111111}')]
[(83, '{id:16A10M2, hour:14, minute:42, day:24, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:KBC70000D1, testcode2:S121111111}')]
[(84, '{id:13ATO16A, hour:12, minute:40, day:25, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:KAC7000011, testcode2:S122111111}')]
[(85, '{id:10M, hour:12, minute:43, day:25, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:KBC70000D1, testcode2:S121111111}')]
[(86, '{id:16A10M, hour:12, minute:51, day:25, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:KBC70000D1, testcode2:S121111111}')]
[(87, '{id:16ATLINE1, hour:19, minute:48, day:25, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(88, '{id:16ATLINE2, hour:19, minute:50, day:25, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(89, '{id:16ATLINE3, hour:19, minute:56, day:25, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(90, '{id:16ATLINE4, hour:19, minute:58, day:25, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(91, '{id:16ATLINE5, hour:20, minute:0, day:25, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(92, '{id:16ATLINE6, hour:20, minute:1, day:25, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(93, '{id:16ATLINE7, hour:20, minute:3, day:25, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(94, '{id:16ATLINE8, hour:20, minute:4, day:25, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(95, '{id:16ATLINE9, hour:20, minute:6, day:25, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(96, '{id:16ATLINE10, hour:20, minute:8, day:25, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(97, '{id:13A4WAYT1, hour:20, minute:18, day:25, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(98, '{id:16A4WAYT2, hour:20, minute:20, day:25, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(99, '{id:13A216A1, hour:20, minute:22, day:25, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(100, '{id:16ATLINE11, hour:20, minute:25, day:25, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(101, '{id:16ATLINE12, hour:20, minute:33, day:25, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(102, '{id:16A4WAY2, hour:20, minute:34, day:25, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(103, '{id:16A6WAY, hour:20, minute:35, day:25, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:J1C3000092, testcode2:Q111111111}')]
[(104, '{id:000619, hour:21, minute:51, day:26, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:KAC7000011, testcode2:S122111111}')]
[(105, '{id:16A2M, hour:21, minute:53, day:26, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:KAC7000011, testcode2:S122111111}')]
[(106, '{id:16A2M, hour:21, minute:56, day:26, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:KAC7000011, testcode2:S122111111}')]
[(107, '{id:16A5M, hour:21, minute:58, day:26, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:KAC70000H1, testcode2:S121111111}')]
[(108, '{id:16A10M, hour:22, minute:0, day:26, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:KBC70000D1, testcode2:S121111111}')]
[(109, '{id:16A2M, hour:22, minute:1, day:26, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:KAC7000011, testcode2:S122111111}')]
[(110, '{id:16A5M, hour:22, minute:5, day:26, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:KAC70000H1, testcode2:S121111111}')]
[(111, '{id:16A10M, hour:22, minute:6, day:26, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:KBC70000D1, testcode2:S121111111}')]
[(112, '{id:16A2M, hour:22, minute:7, day:26, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:KAC7000011, testcode2:S122111111}')]
[(113, '{id:16A5M, hour:22, minute:8, day:26, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:KAC70000H1, testcode2:S121111111}')]
[(114, '{id:16A5M, hour:22, minute:9, day:26, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:KAC70000H1, testcode2:S121111111}')]
[(115, '{id:16A5M, hour:22, minute:10, day:26, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:KAC70000H1, testcode2:S121111111}')]
[(116, '{id:16A10M, hour:22, minute:11, day:26, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:KBC70000D1, testcode2:S121111111}')]
[(117, '{id:16A5M, hour:22, minute:12, day:26, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:KAC70000H1, testcode2:S121111111}')]
[(118, '{id:16A4WAYT1, hour:22, minute:21, day:26, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(119, '{id:164WWAYT2, hour:22, minute:23, day:26, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(120, '{id:16A4WAYT3, hour:22, minute:24, day:26, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(121, '{id:16A4WAYT3, hour:22, minute:26, day:26, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(122, '{id:16A4WAYT4, hour:22, minute:27, day:26, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(123, '{id:16A4WAYT5, hour:22, minute:28, day:26, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(124, '{id:16A4WAYT6, hour:22, minute:29, day:26, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(125, '{id:16A4WAYT7, hour:22, minute:33, day:26, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(126, '{id:16A5M, hour:22, minute:35, day:26, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:KAC70000H1, testcode2:S121111111}')]
[(127, '{id:16A5M, hour:22, minute:36, day:26, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:KAC70000H1, testcode2:S121111111}')]
[(128, '{id:16AT10, hour:22, minute:38, day:26, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000091, testcode2:S122111111}')]
[(129, '{id:16A5M20, hour:22, minute:39, day:26, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:KAC70000H1, testcode2:S121111111}')]
[(130, '{id:16A5M21, hour:22, minute:40, day:26, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:KAC70000H1, testcode2:S121111111}')]
[(131, '{id:16A2M10, hour:22, minute:42, day:26, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:KAC7000011, testcode2:S122111111}')]
[(132, '{id:16A2M, hour:16, minute:4, day:27, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:KAC7000011, testcode2:S122111111}')]
[(133, '{id:16A2M111, hour:16, minute:10, day:27, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:KAC7000011, testcode2:S122111111}')]
[(134, '{id:16A T, hour:16, minute:23, day:27, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000051, testcode2:S121211111}')]
[(135, '{id:16ATLINE, hour:16, minute:41, day:27, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:K1C7000051, testcode2:S121211111}')]
[(136, '{id:16A5M99, hour:18, minute:26, day:28, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:KAC70000H1, testcode2:S121111111}')]
[(137, '{id:16A5M98, hour:18, minute:27, day:28, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:KAC70000H1, testcode2:S121111111}')]
[(138, '{id:16A5M97, hour:18, minute:28, day:28, month:9, year:2012, site:UoB, location:SHED, tester:SHAUN, testcode1:KAC70000H1, testcode2:S121111111}')]
[(139, '{id:?TRELCO?, hour:0, minute:3, day:29, month:9, year:2012, site:UoB, location:SHED, tester:ADAM, testcode1:KAC70000D1, testcode2:S121311111}')]
[(140, '{id:16A50M2, hour:10, minute:28, day:29, month:9, year:2012, site:UoB, location:SHED, tester:ADAM, testcode1:K8C8000091, testcode2:S122111111}')]
[(141, '{id:3751, hour:15, minute:42, day:14, month:10, year:2012, site:UoB, location:SHED, tester:MATT B, testcode1:K5C7000011, testcode2:S121111111}')]
[(142, '{id:3752, hour:15, minute:54, day:14, month:10, year:2012, site:UoB, location:SHED, tester:MATT B, testcode1:K4C70000D1, testcode2:S121111111}')]
[(143, '{id:3753, hour:15, minute:59, day:14, month:10, year:2012, site:UoB, location:SHED, tester:MATT B, testcode1:K1C7000091, testcode2:S122111111}')]
[(144, '{id:3751, hour:16, minute:11, day:14, month:10, year:2012, site:UoB, location:SHED, tester:MATT B, testcode1:K5C7000011, testcode2:S121111111}')]
[(145, '{id:3755, hour:16, minute:25, day:14, month:10, year:2012, site:UoB, location:SHED, tester:MATT B, testcode1:JDCE000052, testcode2:Q111111111}')]
[(146, '{id:3756, hour:16, minute:33, day:14, month:10, year:2012, site:UoB, location:SHED, tester:MATT B, testcode1:K1C7000091, testcode2:S122111111}')]
[(147, '{id:3757, hour:16, minute:36, day:14, month:10, year:2012, site:UoB, location:SHED, tester:MATT B, testcode1:KBC70000D1, testcode2:S121111111}')]
[(148, '{id:3758, hour:16, minute:42, day:14, month:10, year:2012, site:UoB, location:SHED, tester:MATT B, testcode1:K1C7000091, testcode2:S122111111}')]
[(149, '{id:3759, hour:16, minute:44, day:14, month:10, year:2012, site:UoB, location:SHED, tester:MATT B, testcode1:KBC70000D1, testcode2:S121111111}')]
[(150, '{id:3757, hour:16, minute:46, day:14, month:10, year:2012, site:UoB, location:SHED, tester:MATT B, testcode1:KBC70000D1, testcode2:S121111111}')]
[(151, '{id:3760, hour:16, minute:48, day:14, month:10, year:2012, site:UoB, location:SHED, tester:MATT B, testcode1:K1C7000091, testcode2:S122111111}')]
[(152, '{id:3761, hour:16, minute:50, day:14, month:10, year:2012, site:UoB, location:SHED, tester:MATT B, testcode1:K1C7000091, testcode2:S122111111}')]
[(153, '{id:3762, hour:16, minute:51, day:14, month:10, year:2012, site:UoB, location:SHED, tester:MATT B, testcode1:K1C7000091, testcode2:S122111111}')]
[(154, '{id:3763, hour:16, minute:53, day:14, month:10, year:2012, site:UoB, location:SHED, tester:MATT B, testcode1:K1C7000091, testcode2:S122111111}')]
[(155, '{id:3754, hour:16, minute:54, day:14, month:10, year:2012, site:UoB, location:SHED, tester:MATT B, testcode1:K1C7000091, testcode2:S122111111}')]
[(156, '{id:3764, hour:16, minute:55, day:14, month:10, year:2012, site:UoB, location:SHED, tester:MATT B, testcode1:K1C7000091, testcode2:S122111111}')]
[(157, '{id:3765, hour:16, minute:56, day:14, month:10, year:2012, site:UoB, location:SHED, tester:MATT B, testcode1:K1C7000091, testcode2:S122111111}')]
[(158, '{id:3766, hour:16, minute:58, day:14, month:10, year:2012, site:UoB, location:SHED, tester:MATT B, testcode1:KBC70000D1, testcode2:S121111111}')]
[(159, '{id:3767, hour:17, minute:1, day:14, month:10, year:2012, site:UoB, location:SHED, tester:MATT B, testcode1:K1C7000091, testcode2:S122111111}')]
[(160, '{id:3768, hour:17, minute:8, day:14, month:10, year:2012, site:UoB, location:DRAMA STORE, tester:MATT B, testcode1:IAG2006021, testcode2:S122111111}')]
[(161, '{id:3769, hour:17, minute:12, day:14, month:10, year:2012, site:UoB, location:SHED, tester:MATT B, testcode1:K1C7000091, testcode2:S122111111}')]
[(162, '{id:3770, hour:17, minute:15, day:14, month:10, year:2012, site:UoB, location:SHED, tester:MATT B, testcode1:K1C7000091, testcode2:S122111111}')]
[(163, '{id:3771, hour:17, minute:18, day:14, month:10, year:2012, site:UoB, location:SHED, tester:MATT B, testcode1:K1C7000091, testcode2:S122111111}')]
[(164, '{id:3772, hour:17, minute:20, day:14, month:10, year:2012, site:UoB, location:SHED, tester:MATT B, testcode1:K1C7000091, testcode2:S122111111}')]
[(165, '{id:3773, hour:17, minute:22, day:14, month:10, year:2012, site:UoB, location:SHED, tester:MATT B, testcode1:K1C7000091, testcode2:S122111111}')]
[(166, '{id:3774, hour:17, minute:25, day:14, month:10, year:2012, site:UoB, location:SHED, tester:MATT B, testcode1:K1C7000091, testcode2:S122111111}')]
[(167, '{id:3776, hour:17, minute:29, day:14, month:10, year:2012, site:UoB, location:SHED, tester:MATT B, testcode1:KAC70000H1, testcode2:S121111111}')]
[(168, '{id:3777, hour:17, minute:31, day:14, month:10, year:2012, site:UoB, location:SHED, tester:MATT B, testcode1:KAC7000011, testcode2:S122111111}')]
[(169, '{id:3778, hour:17, minute:33, day:14, month:10, year:2012, site:UoB, location:SHED, tester:MATT B, testcode1:KAC70000H1, testcode2:S121111111}')]
